name,body_part,exercise_category,base_calories_burned,description,media_url
펙덱 플라이,가슴,상체근력운동,5.4,머신으로 가슴 근육 타겟팅,
덤벨 플라이,가슴,상체근력운동,5.6,덤벨로 가슴 근육 스트레칭과 수축,
푸쉬업,가슴,상체근력운동,5,체중을 사용하여 가슴 근육 강화,
케이블 크로스오버,가슴,상체근력운동,5.5,케이블로 가슴 근육 수축 운동,
딥스,가슴,상체근력운동,5.8,딥스 운동으로 상체 근육과 가슴 강화,
체스트 프레스 머신,가슴,상체근력운동,5.7,머신을 사용하여 가슴 근육 운동,
스미스 머신 벤치 프레스,가슴,상체근력운동,5.6,스미스 머신으로 안정적인 벤치 프레스 수행,
디클라인 벤치 프레스,가슴,상체근력운동,5.8,디클라인 벤치에서 하부 가슴 강화,
디클라인 덤벨 벤치 프레스,가슴,상체근력운동,5.6,덤벨로 하부 가슴 근육 타겟팅,
인클라인 벤치 프레스,가슴,상체근력운동,5.8,상부 가슴 근육 강화를 위한 운동,
인클라인 덤벨 벤치 프레스,가슴,상체근력운동,5.6,덤벨을 사용하여 상부 가슴 근육 강화,
로우 케이블 크로스오버,가슴,상체근력운동,5.5,케이블로 하부 가슴 근육 타겟팅,
케이블 벤치 프레스,가슴,상체근력운동,5.4,케이블을 사용하여 벤치 프레스 수행,
밴드 체스트 프레스,가슴,상체근력운동,5.3,밴드를 사용하여 가슴 근육 운동,
디클라인 스미스 머신 벤치 프레스,가슴,상체근력운동,5.7,스미스 머신으로 안정적인 하부 가슴 운동,
인클라인 스미스 머신 벤치 프레스,가슴,상체근력운동,5.7,스미스 머신으로 상부 가슴 근육 강화,
인클라인 케이블 벤치 프레스,가슴,상체근력운동,5.6,케이블로 상부 가슴 근육 타겟팅,
인클라인 벤치 프레스 머신,가슴,상체근력운동,5.7,머신으로 상부 가슴 근육 강화,
인클라인 덤벨 플라이,가슴,상체근력운동,5.6,덤벨로 상부 가슴 스트레칭과 강화,
디클라인 벤치 프레스 머신,가슴,상체근력운동,5.6,머신으로 하부 가슴 근육 강화,
인클라인 케이블 플라이,가슴,상체근력운동,5.5,케이블로 상부 가슴 근육 수축,
인클라인 푸쉬업,가슴,상체근력운동,5.3,체중을 사용하여 상부 가슴 강화,
해머 벤치 프레스,가슴,상체근력운동,5.7,해머 머신을 사용하여 가슴 근육 강화,
원 암 덤벨 벤치프레스,가슴,상체근력운동,5.6,한쪽 팔씩 덤벨로 가슴 근육 운동,
디클라인 푸쉬업,가슴,상체근력운동,5.4,디클라인 자세에서 가슴 근육 강화,
숄더 탭 푸쉬업,가슴,상체근력운동,5.5,푸쉬업 중 어깨 터치로 균형 강화,
니 푸쉬업,가슴,상체근력운동,4.5,무릎을 대고 수행하는 가슴 근육 운동,
바벨 풀오버,가슴,상체근력운동,5.7,바벨로 상체 근육 스트레칭과 강화,
벤치 케이블 플라이,가슴,상체근력운동,5.5,벤치에서 케이블로 가슴 근육 수축,
아처 푸쉬업,가슴,상체근력운동,5.6,팔을 벌려 수행하는 푸쉬업,
다이아몬드 푸쉬업,가슴,상체근력운동,5.7,손을 다이아몬드 모양으로 만들어 가슴 강화,
와이드 푸쉬업,가슴,상체근력운동,5.4,팔을 넓게 벌려 수행하는 푸쉬업,
오버헤드 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,가슴 근육을 늘려주는 스트레칭,
랩 어라운드 가슴 스트레칭,가슴,유연성및스트레칭운동,3.4,양팔로 가슴 근육을 감싸며 스트레칭,
비하인드 암 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,팔을 뒤로 하여 가슴 스트레칭,
동적 가슴 스트레칭,가슴,유연성및스트레칭운동,3.6,움직임을 동반한 가슴 스트레칭,
엘보우 백 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,팔꿈치를 뒤로 젖혀 가슴 근육 스트레칭,
원 암 가슴 스트레칭,가슴,유연성및스트레칭운동,3.5,한쪽 팔씩 스트레칭하여 가슴 근육 이완,
해머스트렝스 체스트 프레스,가슴,상체근력운동,5.7,해머 머신으로 안정적인 가슴 근육 운동,
퍼즈 벤치 프레스,가슴,상체근력운동,5.8,잠시 멈추며 수행하는 벤치 프레스,
해머스트렝스 인클라인 체스트 프레스,가슴,상체근력운동,5.7,해머 머신으로 상부 가슴 근육 강화,
어시스트 딥스,가슴,상체근력운동,5.5,도움이 있는 딥스 운동으로 가슴 강화,
중량 딥스,가슴,상체근력운동,5.8,추가 무게를 사용하여 가슴 근육 강화,
링 딥,가슴,상체근력운동,5.7,링을 사용한 딥스로 상체 근육 강화,
폼롤러 펙,가슴,유연성및스트레칭운동,3.5,폼롤러를 사용한 가슴 근육 스트레칭,
추천 가슴 운동,가슴,상체근력운동,5.5,가슴 근육 강화에 추천되는 운동,
해머스트렝스 디클라인 체스트 프레스,가슴,상체근력운동,5.8,해머 머신으로 하부 가슴 근육 강화,
밴드 체스트 플라이,가슴,상체근력운동,5.3,밴드로 가슴 근육 스트레칭과 강화,
밴드 크로스오버,가슴,상체근력운동,5.4,밴드로 가슴 근육 수축 운동,
인클라인 클로즈 그립 벤치 프레스,가슴,상체근력운동,5.7,클로즈 그립으로 상부 가슴 강화,
클로즈 그립 덤벨 벤치 프레스,가슴,상체근력운동,5.6,덤벨로 클로즈 그립 가슴 근육 운동,
중량 푸쉬업,가슴,상체근력운동,5.5,체중 외 추가 무게를 사용하여 가슴 강화,
보수볼 푸쉬업,가슴,상체근력운동,5.4,보수볼을 활용한 안정성과 가슴 강화,
케틀벨 푸쉬업,가슴,상체근력운동,5.6,케틀벨을 사용하여 가슴 근육 운동,
핸드 릴리즈 푸쉬업,가슴,상체근력운동,5.4,푸쉬업 동작에 릴리즈를 추가한 운동,
인클라인 클로즈 그립 덤벨 벤치 프레스,가슴,상체근력운동,5.7,클로즈 그립으로 덤벨 사용,
밴드 벤치 프레스,가슴,상체근력운동,5.4,밴드를 활용한 벤치 프레스,
로우 밴드 크로스오버,가슴,상체근력운동,5.4,밴드로 하부 가슴 타겟팅,
링 푸쉬업,가슴,상체근력운동,5.7,링을 활용한 가슴 근육 운동,
원 암 푸쉬업,가슴,상체근력운동,5.8,한쪽 팔만 사용하는 고난도 푸쉬업,
스텝박스 푸쉬업,가슴,상체근력운동,5.5,스텝박스를 활용한 푸쉬업,
해머 스트렝스 MTS 인클라인 프레스,가슴,상체근력운동,5.7,해머 머신으로 상부 가슴 근육 강화,
해머 스트렝스 MTS 디클라인 프레스,가슴,상체근력운동,5.6,해머 머신으로 하부 가슴 근육 강화,
해머 스트렝스 MTS 체스트 프레스,가슴,상체근력운동,5.7,해머 머신으로 가슴 근육 운동,
해머 스트렝스 벤치 프레스,가슴,상체근력운동,5.6,해머 머신으로 안정적인 가슴 운동,
해머 스트렝스 와이드 체스트 프레스,가슴,상체근력운동,5.7,와이드 그립으로 해머 머신 사용,
해머 스트렝스 레터럴 레이즈,가슴,상체근력운동,5.4,해머 머신으로 어깨와 가슴 강화,
해머 스트렝스 원 암 디클라인 체스트 프레스,가슴,상체근력운동,5.7,한쪽 팔로 수행하는 디클라인 프레스,
잭해머 푸쉬다운,가슴,상체근력운동,5.6,잭해머 장비로 상체 강화,
얼터네이트 덤벨 벤치 프레스,가슴,상체근력운동,5.7,덤벨을 번갈아 사용하여 수행,
벤치 프레스 머신,가슴,상체근력운동,5.7,머신을 사용한 가슴 근육 강화,
인클라인 해머 벤치 프레스,가슴,상체근력운동,5.7,해머 머신으로 상부 가슴 운동,
정지 푸쉬업,가슴,상체근력운동,5.5,멈춘 동작으로 수행하여 근육 자극 강화,
케이블 체스트 프레스,가슴,상체근력운동,5.6,케이블을 사용하여 가슴 근육 강화,
풀오버 머신 (가슴 집중),가슴,상체근력운동,5.5,머신으로 가슴 근육을 타겟팅,
토쳐 펙 덱 플라이 머신,가슴,상체근력운동,5.5,머신으로 가슴 근육 스트레칭과 수축,
이지바 벤치 프레스,가슴,상체근력운동,5.6,이지바를 사용하여 벤치 프레스 수행,
암 크로스오버,가슴,상체근력운동,5.4,양팔을 교차시키며 가슴 근육 수축,
베어 푸쉬업,가슴,상체근력운동,5.6,가슴과 어깨를 타겟으로 하는 기본 푸쉬업 변형,
스탠딩 엘보우 터치,가슴,유연성및스트레칭운동,3.5,가슴과 어깨 근육의 유연성을 개선,
스탠딩 얼터네이트 체스트 플라이,가슴,상체근력운동,5.4,가슴 근육을 하나씩 번갈아 타겟팅,
스탠딩 플라이,가슴,상체근력운동,5.4,케이블로 가슴 근육을 강화,
스탠딩 스트레이트 암 체스트 플라이,가슴,상체근력운동,5.5,가슴 근육의 스트레칭과 수축,
체스트 플라이 앤 프레스업,가슴,상체근력운동,5.6,플라이와 프레스를 결합한 가슴 운동,
코브라 푸쉬업,가슴,상체근력운동,5.5,가슴과 코어를 강화하는 운동,
크리스 크로스 암 리프트,가슴,유연성및스트레칭운동,3.5,가슴 근육 스트레칭과 이완,
크리스 크로스 암 프레이어 푸쉬,가슴,상체근력운동,5.4,팔을 교차하며 가슴 근육을 수축,
닐링 코브라 푸쉬업,가슴,상체근력운동,4.8,무릎을 사용하여 수행하는 코브라 푸쉬업,
닐링 숄더탭 푸쉬업,가슴,상체근력운동,4.7,무릎을 대고 어깨를 터치하며 수행,
레이 다운 푸쉬업,가슴,상체근력운동,5.3,가슴 근육과 상체를 타겟으로 하는 운동,
라잉 플로어 플라이,가슴,상체근력운동,5.5,바닥에서 가슴 근육 스트레칭과 수축,
푸쉬업 플러스,가슴,상체근력운동,5.6,추가 동작으로 가슴 근육을 더 자극,
로테이팅 푸쉬업,가슴,상체근력운동,5.7,회전 동작을 추가하여 균형을 강화,
로테이셔널 푸쉬업 니 탭,가슴,상체근력운동,5.6,무릎 터치와 회전 동작을 포함한 푸쉬업,
TRX 체스트 프레스 투 롤 아웃,가슴,상체근력운동,5.7,TRX 장비로 가슴 근육과 코어 강화,
스포토 프레스,가슴,상체근력운동,5.8,잠시 멈추며 수행하는 벤치 프레스 변형,
스탠딩 덤벨 플라이,가슴,상체근력운동,5.4,덤벨을 사용하여 가슴 근육을 강화,
버티컬 체스트 프레스,가슴,상체근력운동,5.6,수직 방향으로 가슴 근육 강화,
스탠딩 케이블 플라이,가슴,상체근력운동,5.5,케이블을 사용하여 가슴 근육 수축,
스탠딩 디클라인 플라이 머신,가슴,상체근력운동,5.5,머신으로 하부 가슴 근육을 타겟팅,
디클라인 덤벨 플라이,가슴,상체근력운동,5.6,덤벨로 하부 가슴 근육 강화,
리버스 그립 벤치프레스,가슴,상체근력운동,5.7,리버스 그립으로 수행하는 벤치 프레스,
원암 케이블 체스트 프레스,가슴,상체근력운동,5.6,한쪽 팔만 사용하는 가슴 근육 운동,
컨버징 체스트 프레스 머신,가슴,상체근력운동,5.7,머신으로 가슴 근육을 타겟팅,
덤벨 스벤드 프레스,가슴,상체근력운동,5.6,덤벨을 이용한 가슴 근육 운동,
정지 벤치프레스,가슴,상체근력운동,5.8,멈춤 동작을 추가하여 근육 자극을 증가,
너클 푸쉬업,가슴,상체근력운동,5.5,주먹을 사용하여 수행하는 푸쉬업,
플레이트 로드 플라이 머신,가슴,상체근력운동,5.5,머신을 사용하여 가슴 근육을 타겟팅,
레그 레이즈,코어,코어강화운동,5.2,복부 하부를 타겟으로 한 다리 올리기 운동,
크런치,코어,코어강화운동,5,복부 상부를 타겟으로 한 기본 운동,
케이블 크런치,코어,코어강화운동,5.4,케이블을 사용하여 복부 근육 강화,
캡틴스 체어 레그 레이즈,코어,코어강화운동,5.6,복부 하부를 타겟으로 하는 체어 운동,
행잉 레그 레이즈,코어,코어강화운동,5.8,매달린 상태에서 복부 하부 강화,
바이시클 크런치,코어,코어강화운동,5.3,복부와 측면을 동시에 강화,
디클라인 크런치,코어,코어강화운동,5.5,디클라인 벤치를 활용한 크런치,
덤벨 사이드 밴드,코어,코어강화운동,5.4,덤벨을 사용하여 측면 복부 강화,
플랭크,코어,코어강화운동,5.2,전신 안정성을 향상시키는 운동,
브이 업,코어,코어강화운동,5.6,복부 전체를 타겟으로 한 복합 운동,
AB 슬라이드,코어,코어강화운동,5.7,슬라이더를 사용하여 복부를 강화,
크로스 바디 크런치,코어,코어강화운동,5.4,복부 측면과 상부를 동시에 강화,
크런치 머신,코어,코어강화운동,5.3,머신을 사용하여 복부 상부 근육 강화,
니 투 엘보,코어,코어강화운동,5.5,복부 측면과 상부를 타겟으로 한 운동,
오블리크 크런치,코어,코어강화운동,5.5,복부 측면을 집중적으로 강화,
리버스 플랭크,코어,코어강화운동,5.2,등과 복부를 동시에 강화,
러시안 트위스트,코어,코어강화운동,5.4,측면 복부를 타겟으로 한 회전 운동,
케이블 사이드 밴드,코어,코어강화운동,5.6,케이블을 사용하여 복부 측면 강화,
사이드 플랭크,코어,코어강화운동,5.3,측면 복부와 전신 안정성을 향상,
싯 업,코어,코어강화운동,5.4,전통적인 복부 운동으로 상부 복부를 강화,
슈퍼맨,코어,코어강화운동,5.2,허리와 코어 근육을 강화하는 운동,
토 투 바,코어,코어강화운동,5.8,복부 전체를 타겟으로 한 고강도 운동,
케틀벨 스윙,코어,전신강화운동,6,전신의 파워와 코어를 강화,
바벨 쓰러스터,코어,전신강화운동,6.5,코어와 상체를 동시에 강화,
마운틴 클라이머,코어,유산소운동,6.2,코어와 심혈관을 동시에 강화,
드래곤 플래그,코어,코어강화운동,6.5,고난도의 복부 강화 운동,
할로우,코어,코어강화운동,5.3,복부 안정성을 향상시키는 운동,
리버스 크런치,코어,코어강화운동,5.4,복부 하부를 타겟으로 한 운동,
크리스 크로스,코어,코어강화운동,5.3,복부와 측면을 동시에 강화,
시티드 니업,코어,코어강화운동,5.2,앉아서 복부 하부를 타겟으로 한 운동,
사이드 레그 레이즈,코어,코어강화운동,5.3,복부 측면을 타겟으로 한 운동,
플랭크 푸쉬업,코어,코어강화운동,5.5,복부와 상체를 동시에 강화,
로테이션 푸쉬업,코어,코어강화운동,5.6,회전 동작을 추가한 푸쉬업,
풀 플랭크,코어,코어강화운동,5.4,전신 안정성을 향상시키는 플랭크,
케이블 우드 쵸퍼,코어,코어강화운동,5.6,회전 동작으로 복부 측면을 강화,
힐 터치 크런치,코어,코어강화운동,5.3,측면 복부를 타겟으로 한 간단한 운동,
덤벨 쓰러스터,코어,전신강화운동,6.3,코어와 상체 근육을 동시에 강화,
레그 레이즈 힙 리프트,코어,코어강화운동,5.5,복부와 엉덩이를 동시에 강화,
로테이션 플랭크,코어,코어강화운동,5.6,회전 동작을 추가한 플랭크,
버드 독,코어,코어강화운동,5.4,균형과 안정성을 향상,
스타피쉬 크런치,코어,코어강화운동,5.5,복부 전체를 타겟으로 한 운동,
스파이더맨 푸쉬업,코어,코어강화운동,5.6,코어와 상체를 동시에 강화,
암 앤 레그 리프트,코어,코어강화운동,5.4,복부와 상체를 동시에 타겟팅,
프론트 킥,코어,코어강화운동,5.2,복부와 하체를 동시에 강화,
플랭크 잭,코어,코어강화운동,5.4,코어와 유산소운동을 결합,
힙 레이즈 플랭크,코어,코어강화운동,5.3,복부와 엉덩이를 강화,
토르소 로테이션,코어,코어강화운동,5.4,복부와 허리 근육을 회전 동작으로 강화,
플러터 킥,코어,코어강화운동,5.3,복부 하부를 타겟으로 한 운동,
사이드 니업,코어,코어강화운동,5.2,복부 측면을 타겟으로 한 운동,
스탠딩 바이시클,코어,코어강화운동,5.3,서서 복부와 측면을 강화,
크로스오버 토터치,코어,코어강화운동,5.4,측면 복부와 상부 복부를 동시에 강화,
데드 벅,코어,코어강화운동,5.5,복부 안정성을 향상,
머슬업,코어,전신강화운동,6.8,전신을 타겟으로 한 고난도 운동,
케틀벨 터키쉬 겟업,코어,코어강화운동,6,코어와 전신 안정성을 강화하는 복합 운동,
원 암 케틀벨 스내치,코어,전신강화운동,6.2,한 손으로 수행하는 고강도 케틀벨 운동,
케틀벨 행 클린,코어,전신강화운동,6.1,케틀벨을 사용한 폭발적 클린 동작,
바벨 행 클린,코어,전신강화운동,6.3,바벨을 사용하여 수행하는 클린 동작,
바벨 행 스내치,코어,전신강화운동,6.5,바벨을 사용한 고강도 스내치 동작,
바벨 머슬 클린,코어,전신강화운동,6.4,근육 발달을 위한 바벨 클린 동작,
바벨 파워 스내치,코어,전신강화운동,6.6,파워를 중점적으로 수행하는 바벨 스내치,
바벨 파워 클린,코어,전신강화운동,6.5,파워 중심의 바벨 클린 동작,
덤벨 클린,코어,전신강화운동,6,덤벨을 사용하여 수행하는 클린 동작,
덤벨 파워 클린,코어,전신강화운동,6.2,덤벨을 활용한 고강도 클린 운동,
원 암 덤벨 스내치,코어,전신강화운동,6.3,한 손으로 수행하는 덤벨 스내치,
바벨 스내치 하이풀,코어,전신강화운동,6.5,바벨을 사용하여 수행하는 고강도 하이풀,
케틀벨 쓰러스터,코어,전신강화운동,6.4,케틀벨로 수행하는 전신 운동,
중량 디클라인 크런치,코어,코어강화운동,5.6,중량을 활용한 디클라인 크런치,
보수볼 싱글 레그 스탠드,코어,코어강화운동,5.4,보수볼을 사용하여 균형을 강화,
원 레그 플랭크,코어,코어강화운동,5.5,한 다리로 수행하는 플랭크,
인클라인 트위스트 싯 업,코어,코어강화운동,5.6,복부 측면과 상부를 강화하는 운동,
인클라인 레그 레이즈,코어,코어강화운동,5.5,인클라인 벤치를 활용한 레그 레이즈,
추천 코어 운동,코어,코어강화운동,5.4,추천하는 다양한 코어강화운동,
물구나무서기,코어,코어강화운동,5.7,전신 안정성과 코어 강화를 위한 운동,
원 암 케틀벨 스윙,코어,전신강화운동,6,한 손으로 수행하는 케틀벨 스윙,
리버스 하이퍼,코어,코어강화운동,5.8,허리와 코어를 강화하는 운동,
레인보우 플랭크,코어,코어강화운동,5.6,회전 동작이 포함된 플랭크 운동,
덤벨 러시안 트위스트,코어,코어강화운동,5.4,덤벨을 사용하여 측면 복부 강화,
더블 크런치,코어,코어강화운동,5.4,복부 상하부를 동시에 타겟팅,
레그 풀 (필라테스),코어,유연성및스트레칭운동,5.2,필라테스를 활용한 다리 스트레칭,
덤벨 스윙,코어,전신강화운동,6.1,덤벨을 활용한 전신 운동,
사이드 밴드 (로만체어),코어,코어강화운동,5.3,로만체어를 사용하여 측면 복부 강화,
보수볼 크런치,코어,코어강화운동,5.2,보수볼을 사용하여 복부를 강화,
브이 싯,코어,코어강화운동,5.5,복부 상하부를 동시에 강화하는 운동,
수건 마운틴 클라이머,코어,유산소운동,6,수건을 활용한 고강도 유산소운동,
수건 플랭크 잭,코어,코어강화운동,5.4,수건을 활용한 플랭크 변형 운동,
수건 컬시 런지,코어,하체근력운동,5.6,수건을 사용하여 하체를 강화하는 운동,
짐볼 플랭크,코어,코어강화운동,5.4,짐볼을 활용한 플랭크 운동,
짐볼 풀 인,코어,코어강화운동,5.6,짐볼로 수행하는 복부 강화 운동,
다운 독,코어,유연성및스트레칭운동,5.2,요가의 기본 동작으로 몸을 스트레칭,
싱글 다운 독,코어,유연성및스트레칭운동,5.3,싱글 다리로 수행하는 다운 독,
컨트롤 밸런스,코어,코어강화운동,5.5,균형을 유지하며 복부를 강화,
프론트 레버,코어,코어강화운동,6,고난도의 복부 및 전신강화운동,
플란체,코어,코어강화운동,6.3,전신과 코어를 동시에 강화하는 고난도 운동,
중량 크런치,코어,코어강화운동,5.6,중량을 사용하여 복부 근력을 강화,
턱 플란체,코어,코어강화운동,6,코어와 상체를 강화하는 고난도 운동,
월 볼 샷,코어,전신강화운동,6.2,전신과 유산소를 강화하는 운동,
월 워크,코어,전신강화운동,6,벽을 활용한 고강도 전신 운동,
크로스 레그 레이즈,코어,코어강화운동,5.4,다리를 교차하며 복부를 강화,
스텝박스 니업,코어,코어강화운동,5.4,스텝박스를 사용하여 코어를 강화,
해머 스트렝스 MTS 업도미널 크런치,코어,코어강화운동,5.5,머신을 사용하여 복부를 강화,
헌드레드 (필라테스),코어,유연성및스트레칭운동,4.8,필라테스 기본 호흡 운동,
롤 업 (필라테스),코어,코어강화운동,5,복부를 강화하고 유연성을 기르는 필라테스 운동,
롤 오버 (필라테스),코어,유연성및스트레칭운동,5.2,척추 유연성과 복부 강화를 위한 필라테스 동작,
원 레그 서클 (필라테스),코어,유연성및스트레칭운동,5,고관절과 복부를 강화하는 필라테스 동작,
롤링 백 (필라테스),코어,유연성및스트레칭운동,4.9,척추 유연성을 높이는 필라테스 동작,
원 레그 스트레치 (필라테스),코어,유연성및스트레칭운동,5.1,다리와 코어를 강화하는 필라테스 운동,
더블 레그 스트레치 (필라테스),코어,코어강화운동,5.4,복부와 다리의 근력을 강화하는 필라테스 운동,
스파인 스트레치 (필라테스),코어,유연성및스트레칭운동,5,척추와 하체 유연성을 기르는 운동,
콕 스크류 (필라테스),코어,코어강화운동,5.5,복부와 척추의 유연성을 높이는 필라테스 동작,
쏘우 (필라테스),코어,유연성및스트레칭운동,5.2,척추 회전과 유연성을 강화하는 필라테스 동작,
스완 다이브 (필라테스),코어,유연성및스트레칭운동,5.3,상체 유연성과 코어 강화를 위한 필라테스 운동,
넥 풀 (필라테스),코어,코어강화운동,5.6,목과 척추를 강화하며 복부를 타겟으로 하는 필라테스 동작,
스파인 트위스트 (필라테스),코어,유연성및스트레칭운동,5.2,척추 회전과 복부 유연성을 위한 필라테스 동작,
잭 나이프 (필라테스),코어,코어강화운동,5.8,복부와 허리의 강화를 위한 고난도 필라테스 동작,
티저 (필라테스),코어,코어강화운동,5.7,복부 상하부를 타겟으로 하는 고난도 필라테스 동작,
레그 풀 프론트 (필라테스),코어,코어강화운동,5.5,전신의 균형과 코어 강화를 위한 필라테스 운동,
레그 풀 (필라테스),코어,코어강화운동,5.4,다리와 코어를 동시에 강화하는 필라테스 운동,
사이드킥 닐링 (필라테스),코어,코어강화운동,5.5,측면 복부와 하체를 강화하는 필라테스 동작,
행잉 니 레이즈,코어,코어강화운동,5.8,복부와 다리를 강화하는 운동,
인클라인 리버스 크런치,코어,코어강화운동,5.6,복부 하부를 타겟으로 하는 크런치 동작,
케이블 행잉 레그 레이즈,코어,코어강화운동,5.7,케이블을 사용하여 복부를 강화,
원 암 덤벨 클린 앤 프레스,코어,전신강화운동,6,한 손으로 수행하는 클린 앤 프레스 동작,
덤벨 클린 앤 프레스,코어,전신강화운동,6.2,덤벨을 사용하여 전신을 강화하는 동작,
바벨 클린 앤 프레스,코어,전신강화운동,6.3,바벨을 활용하여 전신 근육을 강화,
케틀벨 클린 앤 프레스,코어,전신강화운동,6.1,케틀벨을 사용하여 전신을 강화,
케이블 팔로프 프레스,코어,코어강화운동,5.5,코어 안정성을 강화하는 케이블 운동,
짐볼 파이크,코어,코어강화운동,5.6,짐볼을 활용한 코어강화운동,
다운독,코어,유연성및스트레칭운동,4.9,요가 기본 동작으로 전신 스트레칭,
TRX 파워 풀,코어,코어강화운동,6,TRX를 활용한 전신과 코어 운동,
덤벨 플랭크 풀 스루,코어,코어강화운동,5.7,덤벨을 사용한 플랭크 변형 운동,
중량 싯 업,코어,코어강화운동,5.6,중량을 활용한 싯 업,
로타리 토르소 머신,코어,코어강화운동,5.5,머신을 사용하여 측면 복부를 강화,
덤벨 행잉 니 레이즈,코어,코어강화운동,5.7,덤벨을 추가하여 복부를 강화,
베큠,코어,코어강화운동,5.4,복부 내 근육을 강화하는 정적 운동,
덤벨 행 클린,코어,전신강화운동,6,덤벨을 활용한 클린 운동,
중량 인클라인 싯 업,코어,코어강화운동,5.6,중량을 활용하여 복부 상부를 강화,
행 파워 클린,코어,전신강화운동,6.2,바벨을 활용한 고강도 운동,
제트 업,코어,코어강화운동,5.6,복부와 하체를 동시에 강화하는 운동,
레그 턱,코어,코어강화운동,5.5,다리를 당겨 복부를 강화,
덤벨 파머스 워크,코어,전신강화운동,6,덤벨을 들고 수행하는 전신 운동,
케이블 코어 로테이션,코어,코어강화운동,5.5,회전 동작으로 복부를 강화,
머슬 레일 보드,코어,코어강화운동,5.7,머슬보드 활용한 코어 운동,
케이블 오블리크 트위스트,코어,코어강화운동,5.6,케이블로 측면 복부를 강화,
케틀벨 사이드 밴드,코어,코어강화운동,5.5,케틀벨을 사용하여 측면 복부 강화,
케틀벨 윈드밀,코어,코어강화운동,5.6,케틀벨과 전신 유연성을 강화하는 운동,
원 레그 푸쉬업,코어,코어강화운동,5.4,한 다리로 수행하는 푸쉬업,
라잉 레그 레이즈 클랩,코어,코어강화운동,5.6,복부 하부와 상부를 강화,
케틀벨 찹 앤 리프트,코어,코어강화운동,5.7,케틀벨로 복부를 강화하는 운동,
얼터네이팅 니 턱,코어,코어강화운동,5.5,무릎을 교대로 당기며 복부를 강화,
백 서포티드 니 레이즈,코어,코어강화운동,5.6,백 서포트와 함께 복부 강화,
넥 컬,코어,코어강화운동,5.4,목과 상부 복부를 강화,
덤벨 마치,코어,전신강화운동,5.8,걷는 동작과 덤벨을 결합한 전신 운동,
덤벨 리스트 컬,전완근,상체근력운동,4.5,손목 굴곡근을 강화하는 덤벨 운동,
바벨 리스트 컬,전완근,상체근력운동,4.7,손목과 전완근을 강화하는 바벨 운동,
리스트 롤러,전완근,상체근력운동,4.6,손목 회전 근육을 강화하는 도구 기반 운동,
리버스 바벨 리스트 컬,전완근,상체근력운동,4.5,손목 신전근을 타겟으로 하는 운동,
리버스 덤벨 리스트 컬,전완근,상체근력운동,4.5,손목 신전근과 전완근을 강화하는 덤벨 운동,
